City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,nemuro,43.3236,145.575,61.48,100,100,6.76,JP,1690336862
334,sibolga,1.7427,98.7792,82.65,67,98,1.01,ID,1690336863
335,punta cana,18.5818,-68.4043,82.17,78,40,12.66,DO,1690336587
336,howrah,22.5892,88.3103,82.4,94,75,4.61,IN,1690336606
337,aur,8.1499,171.1687,80.82,86,100,17.83,MH,1690336863
338,bucerias,20.75,-105.3333,78.78,87,100,7.2,MX,1690336836
339,flying fish cove,-10.4217,105.6791,76.68,88,100,10.36,CX,1690336864
340,brak,27.5496,14.2714,88.63,14,4,12.57,LY,1690336864
341,hadibu,12.65,54.0333,76.82,79,68,29.28,YE,1690336864
342,polyarnyy,69.1989,33.4478,49.75,95,100,5.79,RU,1690336864
343,wurno,13.2878,5.4233,84.27,62,90,7.18,NG,1690336864
344,sola,-13.8833,167.55,76.32,80,100,27.22,VU,1690336864
345,alice springs,-23.7,133.8833,60.35,44,0,9.22,AU,1690336865
346,fallbrook,33.3764,-117.2512,97.45,66,0,4.61,US,1690336865
347,kerikeri,-35.2268,173.9474,59.92,67,3,8.99,NZ,1690336865
348,ust'-ilimsk,58.0006,102.6619,72.66,67,58,2.28,RU,1690336865
349,nguigmi,14.2495,13.1092,87.58,45,100,11.95,NE,1690336865
350,antalaha,-14.9003,50.2788,66.51,87,13,6.35,MG,1690336866
351,olsztyn,53.7799,20.4942,58.96,95,100,4.83,PL,1690336866
352,zouerate,22.7187,-12.4521,88.7,21,8,15.35,MR,1690336866
353,novyy urengoy,66.0833,76.6333,69.62,61,97,12.64,RU,1690336866
354,kinkala,-4.3614,14.7644,65.91,88,26,4.12,CG,1690336866
355,morales,2.757,-76.6172,60.75,94,100,1.61,CO,1690336867
356,fortuna,40.5982,-124.1573,66.9,75,75,13.8,US,1690336867
357,chernyshevskiy,63.0128,112.4714,71.87,69,85,8.97,RU,1690336867
358,kristiansund,63.1115,7.732,57.85,94,100,2.3,NO,1690336867
359,peniche,39.3558,-9.3811,63.28,89,5,18.16,PT,1690336648
360,paranaiba,-19.6772,-51.1908,77.23,44,100,8.61,BR,1690336867
361,castillos,-34.1667,-53.8333,55.04,92,100,7.72,UY,1690336868
362,the pas,53.8251,-101.2541,75.22,46,40,6.91,CA,1690336868
363,la'ie,21.6477,-157.9253,83.59,74,21,14.92,US,1690336868
